Timestamp;Channel ID;Channel Title;Video ID;Title;View Count;Like Count;Favorite Count;Comment Count
2023-11-23T19:23:18.797833;UCUGfDbfRIx51kJGGHIFo8Rw;Максим Кац;oF9ZnCZo-34;Почему Путин заговорил про геев | Сюжет избирательной кампании (English subtitles) @Max_Katz;656286;53910;0;4181
2023-11-23T19:23:18.891286;UCgpSieplNxXxLXYAzJLLpng;Майкл Наки;AVYpPCQHKhs;Милов: реальный удар по российской нефти, инфляция продолжает рост, россияне по уши в долгах;608656;39707;0;2964
2023-11-23T19:23:19.004452;UCgpSieplNxXxLXYAzJLLpng;Майкл Наки;Iw0jl_AYhAk;ВОЙНА. ДЕНЬ 638. УБИТ ПРОПАГАНДИСТ/ НОВОСИБИРСКИХ ЖЕН МОБИЛИЗОВАННЫХ КУПИЛИ/ НОВЫЙ РАМШТАЙН;333482;36568;0;2243
2023-11-23T19:23:19.104943;UCUGfDbfRIx51kJGGHIFo8Rw;Максим Кац;iaLFrGCsxcA;Переизобретение будущего | Прогресс, который не остановить (English subtitles) @Max_Katz;500662;33075;0;2901
2023-11-23T19:23:19.194268;UCgpSieplNxXxLXYAzJLLpng;Майкл Наки;PfWaKcQ8Nrk;ВОЙНА. ДЕНЬ 637. УДАР ПО ДК С СОЛДАТАМИ РФ/ БИТВЫ В ПРОМКЕ У АВДЕЕВКИ/ ЛОЖЬ ШОЙГУ ПРО ДЕСАНТ ВСУ;440039;38175;0;2778
2023-11-23T19:23:19.290625;UCUGfDbfRIx51kJGGHIFo8Rw;Максим Кац;i5R-NcHFZQw;Закрепление власти ритуалами | Зачем Путин имитирует народную поддержку (English sub) @Max_Katz;275439;28640;0;2297
2023-11-23T19:23:19.390175;UCgpSieplNxXxLXYAzJLLpng;Майкл Наки;OFzWWrRAA0w;ВОЙНА. ДЕНЬ 636. УДАРЫ ВСУ ПО АЭРОДРОМУ/ МИНИСТРЫ ОБОРОНЫ США И ГЕРМАНИИ В КИЕВЕ/ КАДЫРОВ НАГЛЕЕТ;405283;40256;0;2915
2023-11-23T19:23:19.482095;UCgpSieplNxXxLXYAzJLLpng;Майкл Наки;4p1XD8wG3uw;Российские солдаты никак не научатся. Мощный удар ВСУ по бойцам РФ;386375;34251;0;2482
2023-11-23T19:23:19.572710;UCUGfDbfRIx51kJGGHIFo8Rw;Максим Кац;P2gJXUnVK0g;Мавроди и его МММ | История великого комбинатора @Max_Katz;499404;30886;0;2431
2023-11-23T19:23:19.664058;UCUGfDbfRIx51kJGGHIFo8Rw;Максим Кац;eOF2hTWVgNQ;Курская битва | Воронеж и Кавказ | История Второй мировой (English subtitles) @Max_Katz;240613;16608;0;1509
